"id" "chapter" "start" "end" "desc_DK" "desc_EN" "level" "sex" "include" "dx_fu" "dx_event" "n" "cases" "age_dx" "age_death" "MRR" "LYL" "n_text" "cases_text" "LYLcauses" "age_dx50" "age_death50" "age_dx25" "age_death25" "age_dx75" "age_death75" "age_less10at_risk" "surv" "LYL_smallN" "p5" "p95" "p25" "p50" "p75"
1 1 "A00" "B99" "Visse infektiøse og parasitære sygdomme" "Certain infectious and parasitic diseases" "1" "All" 1 93883288.8240512 861689 1012372 255766 TRUE TRUE TRUE TRUE "1012372" "255766" TRUE 38.2712328767123 79.5534246575342 9.35890410958905 69.2315158320233 67.5743992813833 87.0826349277641 NA NA FALSE 0 86 9 38 68
1 1 "A00" "B99" "Visse infektiøse og parasitære sygdomme" "Certain infectious and parasitic diseases" "1" "Males" 1 46447309.3846995 432407 505625 129250 TRUE TRUE TRUE TRUE "505625" "129250" TRUE 38.5808219178082 77.1330563664945 6.53972602739727 66.9159907178681 66.2717778276816 84.87103525713 NA NA FALSE 0 86 9 38 68
1 1 "A00" "B99" "Visse infektiøse og parasitære sygdomme" "Certain infectious and parasitic diseases" "1" "Females" 1 47435979.4393517 429282 506747 126516 TRUE TRUE TRUE TRUE "506747" "126516" TRUE 37.9423280185643 82.097805224942 13.5397260273974 72.0591451455947 69.1090216333557 88.9993577363575 NA NA FALSE 0 86 9 38 68
1001 1 "A00" "A09" "Infektiøse tarmsygdomme" "Intestinal Infectious Diseases" "2b" "All" 1 99119073.0140654 243657 293805 61915 TRUE TRUE TRUE TRUE "293805" "61915" TRUE 25.96470095067 81.7890410958904 2.35619732015875 71.8340639269406 62.2711505352197 88.6697267759563 NA NA FALSE 0 85 2 26 62
1001 1 "A00" "A09" "Infektiøse tarmsygdomme" "Intestinal Infectious Diseases" "2b" "Males" 1 49068922.5432218 114137 137465 25859 TRUE TRUE TRUE TRUE "137465" "25859" TRUE 19.8713047383787 78.5395209222248 1.81236769219249 68.1144561718692 55.6035092447039 86.0050512762931 NA NA FALSE 0 85 2 26 62
1001 1 "A00" "A09" "Infektiøse tarmsygdomme" "Intestinal Infectious Diseases" "2b" "Females" 1 50050150.4708436 129520 156340 36056 TRUE TRUE TRUE TRUE "156340" "36056" TRUE 30.4535773635751 83.9135204730893 3.48219178082186 74.8720098809792 67.4746013923198 90.1511505352197 NA NA FALSE 0 85 2 26 62
1002 1 "A15" "A19" "Tuberkulose" "Tuberculosis" "2b" "All" 1 101551922.694438 8913 12375 3701 TRUE TRUE TRUE TRUE "12375" "3701" TRUE 42.7420270978366 70.0671277790254 28.2623040646755 58.2936941387828 59.6445856725802 81.4588576989296 NA NA FALSE 7 79 28 43 60
1002 1 "A15" "A19" "Tuberkulose" "Tuberculosis" "2b" "Males" 1 50214538.9164458 4914 6738 2254 TRUE TRUE TRUE TRUE "6738" "2254" TRUE 44.1533483045138 66.5307073882775 29.4530758290291 56.2328767123287 58.8632936597051 77.8315577513286 NA NA FALSE 7 79 28 43 60
1002 1 "A15" "A19" "Tuberkulose" "Tuberculosis" "2b" "Females" 1 51337383.7779924 3999 5637 1447 TRUE TRUE TRUE TRUE "5637" "1447" TRUE 40.7832846769968 75.9934246575342 26.8076936896474 62.8939651171495 61.0543109514186 84.7518526835841 NA NA FALSE 7 79 28 43 60
1003 1 "A20" "A28" "Visse dyreoverførte bakterielle sygdomme" "Certain Zoonotic Bacterial Diseases" "2b" "All" 1 101627160.33251 5670 6137 1257 TRUE TRUE TRUE TRUE "6137" "1257" FALSE 57.296396436859 78.6920547945206 39.7552810839135 67.5682191780822 72.0805479452054 86.9370057639045 NA NA FALSE 8 87 40 57 72
