"id" "start" "end" "sex" "cod" "exposure" "n" "fu" "cases" "HR" "CI_left" "CI_right"
1 "A00" "B99" "All" "All" 0 7227901 93883288.8240512 778507 1 NA NA
1 "A00" "B99" "All" "All" 1 878613 396755.3913766 83610 14.2419315400013 14.1394784757479 14.3451269675881
1 "A00" "B99" "All" "All" 2 782903 374615.327749083 19290 3.77760431901294 3.72387298395044 3.83211093733028
1 "A00" "B99" "All" "All" 3 762018 706122.77032712 26436 2.88321342852919 2.84795822381294 2.91890506150804
1 "A00" "B99" "All" "All" 4 766252 1836740.42124411 52057 2.42227397311233 2.40074204644 2.44399901668653
1 "A00" "B99" "All" "All" 5 551464 2224914.85064002 44883 2.13070468389674 2.11040180934208 2.15120287988893
1 "A00" "B99" "All" "All" 6 349249 2238961.14097612 29490 1.90792471387946 1.88556256093377 1.93055207461762
1001 "A00" "A09" "All" "All" 0 7328447 99119073.0140655 972358 1 NA NA
1001 "A00" "A09" "All" "All" 1 248872 116779.30551688 13975 7.20492678063113 7.08533677193282 7.32653529185668
1001 "A00" "A09" "All" "All" 2 233381 112119.08110637 4786 2.76762031929443 2.69006182622152 2.84741493935488
1001 "A00" "A09" "All" "All" 3 230201 215146.617052175 6863 2.15689772265415 2.10623257146517 2.20878161748037
1001 "A00" "A09" "All" "All" 4 238440 583835.597574669 14921 1.90377470539126 1.87316031717272 1.93488944627978
1001 "A00" "A09" "All" "All" 5 181385 742426.041934277 13037 1.6468089668735 1.61851512603917 1.6755974224422
1001 "A00" "A09" "All" "All" 6 118080 772019.069114455 8333 1.46503125155882 1.43365468553066 1.49709451634761
1002 "A15" "A19" "All" "All" 0 7375136 101551922.694438 1030572 1 NA NA
1002 "A15" "A19" "All" "All" 1 9283 4261.70638520847 633 13.2251574534319 12.2336478489405 14.2970266782048
1002 "A15" "A19" "All" "All" 2 8806 4184.19422112434 206 4.70302194890805 4.10264359364532 5.39125930562688
1002 "A15" "A19" "All" "All" 3 9019 8307.49464780297 275 3.19938177854577 2.84268412987076 3.60083755255497
1002 "A15" "A19" "All" "All" 4 10296 24692.4323003219 767 2.83045228353738 2.63698356195932 3.0381153090804
1002 "A15" "A19" "All" "All" 5 8219 33239.9176734786 976 2.58994586181367 2.43237552682033 2.75772367102149
1002 "A15" "A19" "All" "All" 6 5316 34790.2866981061 844 2.10181578349218 1.96460608694061 2.24860831751583
1003 "A20" "A28" "All" "All" 0 7378131 101627160.33251 1033016 1 NA NA
1003 "A20" "A28" "All" "All" 1 5736 2674.86216034134 341 5.22621174784563 4.69972666722507 5.81167611805959
1003 "A20" "A28" "All" "All" 2 5162 2459.56683134966 147 2.61149200798552 2.22162198250287 3.06977990021909
1003 "A20" "A28" "All" "All" 3 4849 4408.71565236919 201 2.06991887947047 1.80260056951341 2.37687940415156
1003 "A20" "A28" "All" "All" 4 4286 9478.91031514334 367 2.13185751978233 1.92445566938991 2.36161141924005
1003 "A20" "A28" "All" "All" 5 2276 7695.32986001946 98 1.16654192316806 0.956996450770458 1.42196980711168
1003 "A20" "A28" "All" "All" 6 1174 7521.00903510742 103 1.1431611540723 0.942383285560228 1.38671540996509
1004 "A30" "A49" "All" "All" 0 7350842 100036351.772483 864673 1 NA NA
1004 "A30" "A49" "All" "All" 1 313781 124972.621708212 72947 18.73783531419 18.5943753249124 18.8824021311056
1004 "A30" "A49" "All" "All" 2 233634 109778.219417621 13966 4.30700669306062 4.23536259118731 4.37986270471089
1004 "A30" "A49" "All" "All" 3 215516 193963.061119844 18131 3.25809421021422 3.21032597961943 3.30657321095156
1004 "A30" "A49" "All" "All" 4 193983 438977.326094768 31343 2.69476533086282 2.66436984127846 2.72550757628143
1004 "A30" "A49" "All" "All" 5 118892 429103.27520024 22177 2.35869068761128 2.32729826745805 2.39050655329224
1004 "A30" "A49" "All" "All" 6 59544 328252.450340594 11036 2.16178598995774 2.12133982853091 2.20300331117338
1005 "A50" "A64" "All" "All" 0 7366012 100963599.735033 1031670 1 NA NA
1005 "A50" "A64" "All" "All" 1 61180 29724.4858148065 208 3.87930276229253 3.38615234862958 4.44427431849633
1005 "A50" "A64" "All" "All" 2 59950 29106.6653192604 125 2.4534119422351 2.05880037752363 2.92365895402732
1005 "A50" "A64" "All" "All" 3 60155 56764.1731941014 184 1.82787584822109 1.58186092418696 2.1121516218167
1005 "A50" "A64" "All" "All" 4 63574 158278.421917808 479 1.66762641217879 1.52462472896894 1.82404089200167
1005 "A50" "A64" "All" "All" 5 50592 211174.480282955 649 1.55380757092501 1.43858194941659 1.67826238084178
1005 "A50" "A64" "All" "All" 6 33273 212750.764802755 958 1.53115171602918 1.43695962383788 1.63151805980291
1006 "A65" "A69" "All" "All" 0 7375770 101511498.420383 1032642 1 NA NA
1006 "A65" "A69" "All" "All" 1 13781 6608.45757167453 125 2.43206920085344 2.04097221350643 2.89810932191864
1006 "A65" "A69" "All" "All" 2 13227 6392.54789280635 72 1.40689025499586 1.11671060782827 1.77247370601382
1006 "A65" "A69" "All" "All" 3 13287 12357.5465603713 90 0.866517252856746 0.704770719168361 1.0653849955407
