"time" "cause" "pct" "age_specific" "sex" "id" "start" "end" "group" "cip"
25 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 1
25 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0
25 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0
25.25 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.999934780057918
25.25 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 2.36313140677594e-05
25.25 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 4.15886280145656e-05
25.5 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.999861268126592
25.5 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 6.34867381251271e-05
25.5 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 7.52451352827828e-05
25.75 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.999812642367579
25.75 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 9.58764612668686e-05
25.75 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 9.14811711542922e-05
26 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.999750985910257
26 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000121637715286342
26 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000127376374457186
26.25 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.999673075398728
26.25 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000180132768712102
26.25 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000146791832560664
26.5 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.999598671584023
26.5 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000203428957739218
26.5 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000197899458237992
26.75 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.999532284830023
26.75 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000221051361476396
26.75 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000246663808501108
27 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.999494039840285
27 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000233645527438465
27 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000272314632277174
27.25 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.999429029665763
27.25 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000270330404443929
27.25 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000300639929793959
27.5 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.999386605131591
27.5 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000297361571844699
27.5 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000316033296564629
27.75 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.999338082020369
27.75 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000315850396515982
27.75 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000346067583115116
28 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.999266760243189
28 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000351587834082203
28 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000381651922729672
28.25 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.99922208997276
28.25 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000365356007732123
28.25 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000412554019508417
28.5 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.999159387390789
28.5 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000388556842711328
28.5 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000452055766500311
28.75 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.999114956895248
28.75 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000401260128481742
28.75 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00048378297627051
29 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.999038201553771
29 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000438137410226225
29 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000523661036002709
29.25 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.998987732025346
29.25 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000461932801641183
